 ,Area,Mean,Min,Max,Angle,Length,Angle Normalized
1,1.007,218.765,183.693,236.205,-23.832,13.387,156.168
2,1.08,209.148,185.835,234.855,70.427,14.328,70.427
3,1.114,184.398,170.077,204.482,-19.908,14.772,160.092
4,1.249,179.504,162.446,199.579,10.189,16.556,10.189
5,1.108,173.367,150.667,215.315,-57.282,14.703,122.718
6,0.996,182.544,171.971,190.471,-17.509,13.22,162.491
7,0.816,173.347,140.838,207.128,-74.814,10.832,105.186
8,0.714,183.193,161.499,229.986,9.612,9.428,9.612
9,0.782,173.196,140.187,209.176,-74.342,10.336,105.658
10,0.816,180.018,166.599,215.333,-46.123,10.821,133.877
11,0.804,174.568,150.507,208.07,-48.434,10.659,131.566
12,0.821,169.472,154.837,187,9.527,10.892,9.527
13,0.894,161.444,149.106,186.983,-22.004,11.82,157.996
14,0.72,136.985,89.321,235.401,-56.185,9.555,123.815
15,0.703,151.252,135.614,196.825,4.648,9.28,4.648
16,0.799,187.503,178.199,196.274,-17.791,10.61,162.209
17,0.996,213.508,178.426,227.504,-24.821,13.221,155.179
18,0.877,172.784,149.287,225.75,-73.088,11.609,106.912
19,0.849,163.682,132.241,209.419,-113.299,11.22,66.701
20,0.877,143.874,123.326,180.667,-25.574,11.651,154.426
21,0.99,179.574,152.259,227.014,10.217,13.103,10.217
22,0.99,154.304,134.044,210.798,-18.331,13.123,161.669
23,0.984,159.138,144.443,192.299,-9.299,13.02,170.701
24,0.877,172.714,157.678,222.441,11.965,11.591,11.965
25,0.962,161.195,147.34,221.018,-20.674,12.752,159.326
26,0.945,199.098,185.87,225.666,-16.699,12.495,163.301
27,1.153,164.09,135.401,223.191,2.246,15.314,2.246
28,1.114,188.002,175.715,224.91,-17.146,14.756,162.854
29,0.979,161.906,150.31,201.084,11.31,13.012,11.31
30,0.827,186.62,165.637,210.667,-61.514,10.986,118.486
31,0.967,172.411,150.635,218.907,21.615,12.841,21.615
32,1.018,207.073,167.578,242.588,20.146,13.495,20.146
33,0.996,154.666,139.273,174.811,0.326,13.2,0.326
34,0.844,170.182,155.975,207.786,-22.946,11.162,157.054
