 ,Area,Mean,Min,Max,Angle,Length,Angle Normalized
1,0.844,184.779,162.44,209.437,-22.443,11.208,157.557
2,0.956,215.218,150.669,243,-3.724,12.675,176.276
3,1.108,195.654,187.116,206.031,-40.855,14.713,139.145
4,1.052,210.505,171.011,243,-25.185,13.913,154.815
5,0.906,205.526,159.935,240.861,-28.156,12.035,151.844
6,0.793,164.469,143,191.561,-26.748,10.532,153.252
7,0.872,199.813,173.673,239.83,47.626,11.536,47.626
8,1.029,199.976,152.004,243,48.784,13.674,48.784
9,1.08,215.561,151.284,243,-83.991,14.334,96.009
10,0.928,219.209,169.827,243,-84.046,12.269,95.954
11,0.731,219.76,186.626,242.796,-35.538,9.643,144.462
12,0.726,163.493,123.99,214.502,53.842,9.62,53.842
13,1.041,185.166,75.084,242.538,55.187,13.8,55.187
14,0.675,173.973,125.688,236.005,53.514,8.93,53.514
15,1.057,167.762,110.197,210.192,2.132,14.061,2.132
16,1.249,166.806,103.372,225.083,-1.037,16.553,178.963
17,0.894,202.395,136.338,243,5.782,11.866,5.782
18,0.754,162.774,141.591,217.915,-0.862,10.001,179.138
19,0.861,213.233,153.967,243,-80.91,11.435,99.09
20,0.939,220.242,188.442,242.707,-80.991,12.446,99.009
21,1.029,175.727,118.05,242.679,-15.338,13.634,164.662
22,1.018,212.613,154.168,243,-16.032,13.516,163.968
23,0.844,220.053,188.973,242.419,-66.701,11.154,113.299
24,0.675,224.806,193.222,243,-66.038,8.93,113.962
25,0.776,217.102,172.643,242.866,-80.331,10.25,99.669
26,0.962,209.765,129.287,243,-85.627,12.739,94.373
27,0.934,220.019,175.169,243,-88.254,12.356,91.746
28,0.928,208.528,149.613,242.675,-21.413,12.331,158.587
29,1.046,210.438,157.584,242.792,-19.612,13.854,160.388
30,0.866,172.502,135.843,233.688,-105.124,11.498,74.876
31,0.922,190.057,145.67,240.541,-108.546,12.238,71.454
32,0.883,204.652,119.481,243,-5.128,11.702,174.872
33,1.041,194.145,103.742,243,-10.333,13.779,169.667
34,1.114,212.607,154.943,242.834,-87.675,14.762,92.325
35,1.344,207.844,136.297,243,-18.359,17.851,161.641
36,1.029,217.352,192.56,242.396,-41.66,13.669,138.34
37,0.838,223.954,190.612,243,-113.607,11.083,66.393
38,0.883,219.842,187.639,243,-113.776,11.687,66.224
39,1.063,207.346,121.65,243,-100.414,14.092,79.586
40,1.001,213.187,184.917,240.702,-36.027,13.282,143.973
41,0.973,217.11,186.425,243,-26.862,12.88,153.138
42,0.928,218.463,188.488,242.547,-37.291,12.28,142.709
43,0.832,220.583,148.067,243,-37.025,11.03,142.975
44,0.855,200.761,145.415,241.507,-32.326,11.347,147.674
45,0.776,177.032,47.84,202.364,-45.891,10.254,134.109
46,0.866,211.446,178.886,231.578,-37.02,11.46,142.98
47,0.872,208.107,183.482,242.008,-39.758,11.575,140.242
48,0.827,214,99.644,243,-41.406,10.983,138.594
49,0.866,209.748,153.437,242.666,-81.764,11.512,98.236
50,0.99,213.602,114.965,242.906,-82.427,13.111,97.573
51,1.153,207.753,142.226,243,2.82,15.266,2.82
52,1.333,223.465,192.504,243,7.787,17.664,7.787
53,0.765,218.458,189.181,242.618,-49.49,10.141,130.51
54,0.692,208.901,66.058,243,-48.991,9.182,131.009
55,0.776,199.707,76.861,242.75,25.246,10.243,25.246
56,0.934,169.682,116.925,233.243,25.017,12.369,25.017
57,1.035,157.098,103.524,240.93,26.565,13.73,26.565
58,0.906,191.322,141.451,238.118,61.991,11.988,61.991
59,1.108,201.72,131.932,242.395,-87.955,14.709,92.045
60,0.697,185.273,7.902,237.464,-89.068,9.201,90.932
61,0.861,216.497,162.201,242.849,-84.703,11.398,95.297
62,0.709,192.758,73.656,241.278,-88.152,9.355,91.848
63,0.827,214.202,189.953,243,-40.006,10.966,139.994
64,0.816,219.671,188.528,243,-37.979,10.832,142.021
65,0.9,211.959,123.97,242.566,-32.692,11.9,147.308
66,1.136,219.915,182.564,243,1.14,15.053,1.14
67,1.057,222.833,190.508,243,-6.442,14.041,173.558
68,0.838,193.258,138.958,242.755,-104.41,11.109,75.59
69,0.956,211.935,98.447,243,-90,12.7,90
70,0.9,207.144,172.312,243,-117.051,11.919,62.949
71,0.962,217.774,174.159,243,-118.072,12.75,61.928
72,0.922,198.846,139.991,240.684,-65.323,12.216,114.677
73,1.232,205.429,146.099,242.648,-58.856,16.378,121.144
74,1.052,188.788,65.093,243,-5.528,13.97,174.472
75,1.226,137.448,55.541,242.859,-4.236,16.244,175.764
76,0.703,199.924,152.361,243,-43.025,9.267,136.975
77,0.793,197.191,124.905,243,-27.854,10.468,152.146
78,1.012,198.476,125.155,242.593,-61.721,13.424,118.279
79,0.911,217.527,172.156,243,72.688,12.098,72.688
80,1.012,182.397,112.298,240.95,70.755,13.41,70.755
81,0.973,207.659,104,243,-3.681,12.878,176.319
82,1.08,180.387,97.375,242.799,0.905,14.301,0.905
83,0.821,210.485,162.583,243,-68.199,10.9,111.801
84,0.889,201.209,147.981,242.695,-61.477,11.768,118.523
85,0.793,200.78,121.102,243,-78.851,10.502,101.149
86,0.996,161.661,91.416,243,-129.015,13.189,50.985
87,0.967,213.623,186.998,243,-22.671,12.796,157.329
88,0.962,221.38,178.837,242.816,-31.541,12.752,148.459
89,0.996,212.838,154.102,243,-73.831,13.18,106.169
90,0.9,175.973,73.521,243,41.424,11.938,41.424
91,0.877,173.404,69.103,243,42.647,11.641,42.647
92,0.906,193.04,83.444,243,-26.405,12.008,153.595
93,0.81,201.522,130.784,243,-1.193,10.753,178.807
94,0.99,180.968,82.416,233.35,-143.13,13.14,36.87
95,0.883,199.521,108.436,243,-85.967,11.727,94.033
96,0.973,203.103,128.333,243,-14.845,12.928,165.155
97,1.221,150.397,44.191,242.025,40.687,16.199,40.687
98,0.996,160.333,64.182,243,42.23,13.171,42.23
99,1.254,183.754,81.377,242.267,22.759,16.67,22.759
100,1.361,184.134,105.589,242.747,-24.326,18.058,155.674
101,1.254,204.828,87.907,243,24.487,16.668,24.487
102,1.17,204.506,142.804,243,45.978,15.523,45.978
103,0.512,196.293,89.268,242.185,19.44,6.754,19.44
104,0.861,199.116,120.798,242.621,57.355,11.401,57.355
105,1.209,201.793,102.246,243,-103.517,16.056,76.483
106,0.877,189.212,90.415,242.738,84.472,11.657,84.472
107,0.799,198.376,0,242.948,-45.288,10.571,134.712
108,0.951,200.629,116.851,243,-39.674,12.573,140.326
109,0.849,193.634,104.174,243,-25.71,11.226,154.29
110,1.125,209.602,88.646,242.869,-72.749,14.929,107.251
111,1.131,177.387,45.048,243,-140.67,14.994,39.33
112,1.215,206.646,0,243,-160.56,16.161,19.44
113,1.209,195.584,95.397,243,-106.827,16.053,73.173
114,1.018,166.901,68.902,240.432,47.941,13.487,47.941
115,1.114,213.654,170.115,243,-67.335,14.773,112.665
116,0.922,201.462,161.257,243,65.004,12.212,65.004
117,1.086,214.611,171.208,243,58.627,14.38,58.627
118,1.17,222.777,192.167,243,12.288,15.505,12.288
119,1.063,218.063,193.024,243,-54.958,14.107,125.042
120,0.877,217.799,196.636,243,-52.093,11.597,127.907
121,1.153,225.529,200.173,243,-62.176,15.265,117.824
122,1.159,223.342,199.241,243,11.802,15.401,11.802
123,1.356,226.333,202.193,243,18.737,17.978,18.737
124,1.102,218.862,197.953,243,-52.485,14.656,127.515
125,1.192,220.367,195.832,243,-53.076,15.855,126.924
126,0.939,222.989,196.278,243,-53.061,12.48,126.939
127,1.119,227.476,205.948,243,17.977,14.824,17.977
128,0.652,228.149,209.964,243,16.699,8.613,16.699
129,1.243,179.471,166.255,192.533,-35.205,16.522,144.795
130,1.243,183.748,168.344,241.955,-34.992,16.479,145.008
131,1.125,217.132,185.176,243,57.507,14.939,57.507
132,1.423,214.442,174.959,243,55.176,18.912,55.176
133,1.012,210.076,180.315,243,55.689,13.438,55.689
134,1.361,217.743,183.998,243,-97.861,18.095,82.139
135,1.479,163.173,127.813,237.136,-97.233,19.656,82.767
136,1.479,222.986,190.707,243,-97.233,19.656,82.767
137,1.187,151.766,128.962,239.485,-20.588,15.783,159.412
138,1.232,156.733,122.435,211.628,-21.509,16.365,158.491
139,0.821,215.751,183.205,243,-23.923,10.912,156.077
140,1.423,110.259,82.684,166.759,-95.914,18.926,84.086
141,0.951,147.267,95,243,-93.746,12.627,86.254
142,0.832,153.73,84.857,243,36.17,11.056,36.17
143,1.035,146.04,122.219,211.336,-61.614,13.725,118.386
144,1.119,169.793,145.987,222.734,-58.639,14.844,121.361
145,1.097,167.16,130.526,240.092,-61.719,14.563,118.281
146,1.097,167.16,130.526,240.092,-61.719,14.563,118.281
147,1.294,116.42,78.506,193.161,-5.262,17.172,174.738
148,1.339,91.238,68.283,243,2.657,17.794,2.657
149,1.007,125.932,97.306,198.253,-51.843,13.353,128.157
150,0.607,143.815,96.738,241.406,-50.332,7.99,129.668
151,1.372,87.233,61.37,223.029,-55.917,18.202,124.083
152,1.232,128.797,87.032,243,2.889,16.371,2.889
153,1.209,108.781,85.227,231.14,7.524,16.038,7.524
154,1.018,140.674,94.044,219.889,-3.497,13.525,176.503
155,0.99,119.817,94.12,243,-2.291,13.135,177.709
156,1.316,147.346,116.893,243,-93.439,17.507,86.561
157,1.288,155.822,101.667,225.193,-89.749,17.1,90.251
158,1.226,137.404,79.342,236.567,-68.981,16.31,111.019
159,1.575,142.085,101.711,233.615,-14.534,20.919,165.466
160,1.035,175.392,114.528,233.676,-19.822,13.712,160.178
161,1.243,149.062,129.455,235.611,-78.486,16.533,101.514
162,1.417,154.542,112.601,236.202,26.973,18.851,26.973
163,1.401,213.868,170.195,243,28.426,18.592,28.426
164,1.333,141.09,93.319,220.908,69.416,17.705,69.416
165,1.536,139.798,98,243,59.941,20.364,59.941
166,1.187,116.768,84.6,230.56,-20.333,15.757,159.667
167,1.052,212.848,158.617,243,-19.116,13.97,160.884
168,1.271,221.763,191.567,243,-61.044,16.886,118.956
169,1.007,221.408,182.966,243,-62.286,13.386,117.714
170,1.361,212.051,173.437,243,-54.794,18.083,125.206
