 ,Area,Mean,Min,Max,Angle,Length,Angle Normalized
1,0.771,217.541,198.284,230.851,10.154,10.173,10.154
2,0.624,201.818,184.048,247.54,9.978,8.218,9.978
3,0.613,188.553,154.958,232.75,4.764,8.128,4.764
4,0.534,183.509,163.952,227.847,9.162,7.022,9.162
5,0.641,193.442,166.812,239.433,-22.932,8.489,157.068
6,0.714,206.711,180.956,224.251,-2.726,9.422,177.274
7,0.709,199.09,184.794,210.919,-8.326,9.36,171.674
8,0.512,186.774,152.333,211.94,44.549,6.762,44.549
9,0.647,192.052,173.988,225.507,-15.739,8.561,164.261
10,0.652,226.738,207.783,243,-19.22,8.658,160.78
11,0.647,225.166,196.936,243,-22.736,8.538,157.264
12,0.596,214.465,145.717,243,-6.038,7.848,173.962
13,0.731,129.258,117.859,174.73,-7.565,9.679,172.435
14,0.675,161.57,127.74,204.661,-11.592,8.929,168.408
15,0.652,154.682,118.757,192.45,-10.528,8.657,169.472
16,0.551,215.685,158.098,243,2.361,7.28,2.361
17,0.579,219.303,175.828,243,2.806,7.661,2.806
18,0.574,165.939,144.208,206.792,5.092,7.608,5.092
19,0.596,201.182,146.733,239.677,46.169,7.85,46.169
20,0.596,207.901,175.666,243,42.31,7.911,42.31
21,0.658,230.354,211.949,243,10.437,8.694,10.437
22,0.647,167.276,143.082,214.414,11.113,8.561,11.113
23,0.799,221.437,172.733,243,8.994,10.598,8.994
24,0.709,182.137,163.784,204,13.029,9.343,13.029
25,0.771,117.87,81.637,199,11.476,10.186,11.476
26,0.726,106.588,85.01,214.389,11.75,9.568,11.75
27,0.866,97.894,76.418,143.392,2.993,11.491,2.993
28,0.771,112.493,80.482,163.997,0.424,10.163,0.424
29,0.664,105.967,86,153.808,1.481,8.741,1.481
30,0.849,128.955,78.24,192.25,0.764,11.251,0.764
31,0.579,171.405,73.49,235.297,-11.31,7.685,168.69
32,0.636,99.523,71.637,169.42,-23.131,8.366,156.869
33,0.967,201.331,145.812,242.218,-81.634,12.85,98.366
34,0.996,200.075,157.638,243,-42.691,13.163,137.309
35,0.737,178.771,92.443,243,26.169,9.744,26.169
36,0.917,93.228,66.574,243,-17.879,12.179,162.121
37,0.866,122.726,71.733,239.02,19.026,11.468,19.026
38,0.765,132.364,81.892,225.17,35.685,10.135,35.685
39,0.951,178.16,147.001,219.628,9.293,12.577,9.293
40,0.827,159.442,138.698,174.212,9.462,10.949,9.462
41,0.855,165.606,138.73,224.585,-63.605,11.303,116.395
42,0.99,146.662,129.024,207.075,-0.659,13.088,179.341
43,0.951,139.864,126.223,153.966,5.473,12.586,5.473
44,0.669,197.832,118.296,243,-2.911,8.822,177.089
45,0.737,179.637,103.725,242.355,-3.549,9.731,176.451
46,0.748,94.346,70.509,202.684,-1.312,9.865,178.688
47,1.012,196.198,115.24,243,-3.517,13.453,176.483
48,0.742,175.723,89.687,243,-14.566,9.841,165.434
49,0.731,184.024,153.476,238.897,-32.335,9.675,147.665
50,0.821,211.961,180.573,242.432,-34.019,10.848,145.981
51,0.771,161.997,129.5,216.484,-32.05,10.176,147.95
52,0.861,220.861,182.22,243,14.128,11.378,14.128
53,0.877,167.156,146.079,205.953,15.742,11.61,15.742
